coursenumber,career,condition,daytime,description,instructor,location,name,section,sectionid,subsections,type
AMER37705,Graduate,Open,Tue Thu : 12:00 PM-01:20 PM,"This course surveys the history of African Americans in Chicago, from before the twentieth century to the near present. In referring to that history, we treat a variety of themes, including migration and its impact, the origins and effects of class stratification, the relation of culture and cultural endeavor to collective consciousness, the rise of institutionalized religions, facts and fictions of political empowerment, and the correspondence of Black lives and living to indices of city wellness (services, schools, safety, general civic feeling). This is a history class that situates itself within a robust interdisciplinary conversation. Students can expect to engage works of autobiography and poetry, sociology, documentary photography, and political science as well as more straightforward historical analysis. By the end of the class, students should have grounding in Black Chicago's history and an appreciation of how this history outlines and anticipates Black life and racial politics in the modern United States.",Adam Green,TBA,"Introduction to Black Chicago, 1893-2010",1,[42942],[],LEC
AMER49801,Undergraduate,Open,Mon Wed Thu : 11:00 AM-12:05 PM,"This course presents an episodic study of the ways in which American law has treated legal issues involving race. Two episodes are studied in detail: the criminal law of slavery during the antebellum period and the constitutional attack on state-imposed segregation in the twentieth century. The case method is used, although close attention is paid to litigation strategy as well as to judicial opinions. Undergraduate students registering in the LLSO, PLSC, HIST, AMER cross-listed offerings must go through the undergraduate pre-registration process. Law students do NOT need consent.",Dennis J Hutchinson,Laird Bell Quadrangle E,American Law and the Rhetoric of Race,1,[54204],[],CRS
AMER50001,Graduate,Open,Fri : 09:30 AM-12:20 PM,"This seminar surveys the study of American culture as it is currently practiced at the University of Chicago. Seminar members read and discuss recent work by faculty specialists from the Humanities, the Social Sciences, the Divinity School, and the Law School at Chicago. Though interested in how different disciplines frame questions and problems, we will be attuned to convergences in themes, approaches, and methods. During the last half of our seminar meetings our authors will join us for a focused discussion of their work. Many of our guests will also deliver public lectures the day before visiting the seminar.",Eric Slauter,Rosenwald Hall 405,Multidisciplinary Study of American Culture,1,[41079],[],SEM
AMER62604,Graduate,Open,Thu : 12:00 PM-02:50 PM,"How has American society's insatiable thirst for visual media influenced the way US citizens have viewed one another and portrayed themselves to others? In this course we will explore the significance of what Raymond Williams called the ""cultural revolution"" for the lives of ordinary men and women in the United States. This history encompasses subjects that have retained their relevance in contemporary life, including racial and ethnic stereotypes, armchair travel, virtual versus lived reality, authenticity and artifice, mass entertainment, city life, celebrity, and gender. Readings will include a series of theoretical works in combination with articles and monographs, to provide a broader underpinning for the problems of perception and historical analysis at play in this realm of scholarly thought and practice.",Amy Lippert,TBA,"Visual Culture in American Life, 1800-1915",1,[54215],[],SEM
AMER62805,Graduate,Open,Mon : 12:30 PM-03:20 PM,"This course explores the burgeoning historiography of American conservatism, tracing the movement from its grassroots origins after World War II to its institutionalization and militarization in the Reagan era to the rise of evangelicalism and Tea Party politics. We will focus on the role of women in the movement, the ideological alliances in its founding, and the roles of particular conservative groups in the movement's history. This course will move both chronologically and thematically to explore fundamental questions about activism and radicalization, grassroots and top-down ideologies, and the impact of conservative thought and institutions upon American society and state in the late twentieth century.",Kathleen Belew,TBA,"Colloquium: American Conservatism, 1945–Present",1,[42975],[],SEM
ANCC32800,Pritzker School of Medicine,Open,TBA,,Staff,TBA,Away Rotation: Anesthesiology,44,[40475],[],ROA
ANCC34400,Pritzker School of Medicine,Open,Mon Tue Thu Fri : 06:00 AM-05:00 PM,,Michael Woo,Arranged ARR,Anesthesia/Critical Care 4th Year ICU Elective,43,[40182],[],CLK
ANCC41000,Pritzker School of Medicine,Open,Mon Fri : 06:00 AM-08:00 PM,,Michael Woo,Arranged ARR,Sub-Internship in Cardiothoracic Intensive Care,44,[40187],[],SUB
ANCC42000,Pritzker School of Medicine,Open,Mon Fri : 06:00 AM-08:00 PM,,Michael Woo,Arranged ARR,Sub-Internship in Surgical and Burn Intensive Care,44,[40190],[],SUB
ANCM30502,Graduate,Open,Mon Wed Fri : 10:30 AM-11:20 AM,"This course features readings in a variety of genres, including historical, literary, and scientific texts.",Janet H Johnson,Oriental Institute 208,Middle Egyptian Texts-1,1,[41139],[],LEC
ANCM34307,Graduate,Open,Tue Thu : 01:30 PM-02:50 PM,"A lecture course, with limited discussion, of the principal developments with respect to government, society, and culture in the Middle Byzantine Period. Although a survey of events and changes, including external relations, many of the latest scholarly controversies will also receive scrutiny. Readings will include some primary sources in translation and examples of modern scholarly interpretations. Midterm, final examination, and a short paper.",Walter E Kaegi,Social Sciences Rsch Bldg 404,Byzantine Empire: 610-1025,1,[42891],[],SEM
ANCM37416,Graduate,Open,Tue Thu : 10:30 AM-11:50 AM,"We will survey the evidence for cursing in the Ancient Mediterranean World, beginning briefly in Mesopotamia and Egypt, then focusing mainly on the circum-Mediterranean basin from the archaic period down until Late-Antiquity. These rituals will include the conditional self-curses attached to oath, revenge curses, binding-curses (defixiones), prayers for justice, “voodoo dolls” and erotic curses used for seduction. Some knowledge of Greek and Latin recommended.",Christopher Faraone,Classics Building 021,Curses and Cursing in the Ancient Mediterranean World,1,[43832],[],LEC
ANCM43516,Graduate,Open,Wed : 01:30 PM-04:20 PM,"This seminar examines the interplay between conceptions and analyses of Mediterranean environments and landscapes, from the beginnings of classical scholarship to the present. Key themes include: environmental determinism, human and non-human interactions, interpretive approaches to space and place, the role of science in archaeological and historical practice, and the compartmentalization of “environment” and “landscape” as analytic focus. These themes loom large now - during what might be called the “environmental turn” of the controversial Anthropocene in the humanities and social sciences - and their intensifying resonance provides the basis for critical reflection of the discipline’s past and future trends.",Catherine Kearns,Classics Building 021,Ancient Mediterranean Environments and Landscapes,1,[43834],[],LEC
ANCM44916,Graduate,Open,Wed : 01:30 PM-04:20 PM,"How do we know what we know about ancient religions? Historians of religion often begin by turning to texts: either sacred texts, or, in the absence of such scriptures, descriptions of belief and practice by observers from outside the faith. Archaeologists focus their attention on the spaces and traces of religious practice—or at least those that survive—while art historians begin by examining images of deities and religious rites. Yet we often fail to see the extent to which the questions which we ask of all of these diverse sources are conditioned by Christian rhetoric about pagan worship. In this course, we compare two moments when Christians encountered ""pagans"": during the initial Christian construction of a discourse on paganism (and, more broadly, a discourse on religion) during the late Roman empire and during the Spanish discovery of the New World. Our course examines silences and absences in the textual and material records, as well as the divergences between texts and objects, in order to further our understanding of ancient religious practice. We will begin to see the many ways in which, as scholars of religion, we are in effect still Christian theologians, paving the way for new approaches to the study of ancient religion.","Clifford Ando, Claudia Brittenham",Regenstein Library 207,The Discovery of Paganism,1,[43840],[],SEM
ANCM49700,Graduate,Open,TBA,Readings and Research for working on their PhD,Walter E Kaegi,TBA,Reading Course: ANCM,9,[57968],[],RSC
ANTH20702,Undergraduate,Open,Mon Wed : 01:30 PM-02:50 PM,"The second segment of the African Civilizations sequence uses anthropological perspectives to investigate colonial and postcolonial encounters in West and East Africa. The course objective is to show that while colonialism was brutal and oppressive, it was by no means a unidirectional process of domination in which Europeans plundered the African continent and enforced a wholesale adoption of European culture. Rather, scholars today recognize that colonial encounters were complex culture, political, and economic fields of interaction. Africans actively adopted, reworked, and contested colonizers' policies and projects, and Europeans drew heavily from these encounters to form liberal conceptions of self, nation, and society. Over the course of the quarter, students will learn about forms of personhood, political economy, and everyday life in the twentieth century. Course themes will include social reproduction, kinship practices, medicine, domesticity, and development. Note(s): Taking these courses in sequence is recommended but not required; this sequence meets the general education requirement in civilization studies. CHDV Distribution C*. Equivalent Course(s): ANTH 20702,CRES 20802,HIST 10102",Jennifer Cole,Rosenwald Hall 329,Intro To African Civ-2,1,[42820],[],LEC
ANTH21201,Undergraduate,Open,Tue Thu : 03:00 PM-04:20 PM,"This course is an anthropological and historical exploration of one of the most original and influential American musical genres in its social and cultural context. We examine transformations in the cultural meaning of the blues and its place within broader American cultural currents, the social and economic situation of blues musicians, and the political economy of blues within the wider music industry.",Michael Dietler,TBA,Intsv Stdy: Chicago Blues,1,[42615],"[{'sectionname': 'Section 1S01 [43384] - SCR Open', 'daytime': 'Thu : 06:00 PM-08:00 PM', 'instructor': 'Dietler'}]",LEC
ANTH21306,Undergraduate,Open,Tue Thu : 04:30 PM-05:50 PM,"A study of storytelling in non-literate and folk societies, antecedent to the complexities of modern narrativity, itself anchored in and energized by literacy. Despite the impact of literacy on modern minds this course argues for the persistence of ancient themes, plots, characters and motifs. A further argument is made for the foundational role of storytelling in the creation of culture and construction of society. The central place of storytelling is shown in the humanistic and social sciences: anthropology, economics, history, philosophy, politics, psychoanalysis. Student storytelling and performance of brief stories is encouraged and discussed in light of the main arguments of the course. J.Fernandez",James W Fernandez,TBA,Explorations in Oral Narrative,1,[54785],[],SEM
ANTH21333,Undergraduate,Open,Tue Thu : 12:00 PM-01:20 PM,"The body is implicated in all facets of human life. It is at once constraint and enabler, relational and personal, “real” and “imagined.” It is both individually performed and socially determined, the site of both domination and resistance. Anthropological theory has moved far from “Cartesian dualism” in which mind and body can and must be separate; this course will travel through ways of understanding bodies that have supplemented or bypassed this idea, or have existed outside of it entirely. We will consider what it means to have a body, to know a body, to be defined by a body – in short, to live a body. This class’s topical readings are oriented around the idea that “embodiment” involves both material entities and socially embedded processes. We will consider experience, consciousness, sensation, perception, and affect; we will interrogate processes, functions, and ways of knowing that are often taken for granted; we will prise apart the ways power is inscribed on and with bodies, both internally and externally. To do so, we will balance theory and ethnography in both our consumption and production of scholarly material., including a final ""auto-ethnography"" in which students adopt a new body practice for the quarter.",Andrea Ford,Haskell Hall 315,"The Lived Body: Anthropology, Materiality & Meaningful Practice",1,[43391],[],SEM
ANTH21420,Undergraduate,Open,Mon Wed : 04:00 PM-05:20 PM,"This course introduces theory and practice, as well as situates ethnography within social science research more generally. Students are exposed to a wide range of investigative and analytical techniques used in ethnographic research and to multiple forms of interpretation and representation of ethnographic data. Students are required to apply the methods discussed in class through field assignments and through a final ethnographic project that is developed in consultation with the instructor. This course is particularly useful for students who intend to write a senior thesis the following year. Field trips to sites in Chicago required.",Christopher Sheklian,TBA,Ethnographic Methods,1,[43394],[],SEM
ANTH21428,Undergraduate,Open,Mon Wed : 09:30 AM-10:20 AM,"This course is a critical examination of the ways in which data on the behavior, morphology, and genetics of apes have been used to elucidate human evolution. We emphasize bipedalism, hunting, meat eating, tool behavior, food sharing, cognitive ability, language, self-awareness, and sociability. Visits to local zoos and museums, film screenings, and demonstrations with casts of fossils and skeletons required.",Russell H Tuttle,Haskell Hall 027,Apes and Human Evolution,1,[43395],"[{'sectionname': 'Section 1L01 [43396] - LAB Open', 'daytime': 'Fri : 09:30 AM-11:20 AM', 'instructor': 'Tuttle'}]",SEM
ANTH22710,Undergraduate,Open,Tue Thu : 01:30 PM-02:50 PM,"Relations of communication, as well as coercion, are central though less visible in Weber’s famous definition of the state as monopoly of legitimate violence. This course reconsiders the history of the state in connection to the history of signs. Thematic topics (and specific things and sites discussed) include changing semiotic technologies; means; forces and relations of communication (writing, archives, monasteries, books, ""the"" internet); and specific states (in early historic India and China, early colonial/revolutionary Europe, especially France, Britain, and Atlantic colonies, and selected postcolonial ""new nations"").",John Kelly,Haskell Hall 315,Signs and the State,1,[43412],[],SEM
ANTH23091,Undergraduate,Open,Tue Thu : 01:30 PM-02:50 PM,"“Progress,” and its derived concept of “development” have puzzled Latin Americans throughout their modern history: they were an ambitious goal and a challenge for intellectual and political elites, a reality and an elusive dream for ordinary Latin Americans, and the cause of new challenges and problems wherever they actually or presumably took place. For historians, progress and development used to represent the very sense of universal history, a narrative that sneaked into visions of “Western modernity” and “globalization.” But later on, they became a myth to debunk rather than an object of reflection. What has “progress” meant particularly for Latin Americans? What is, for instance, the meaning of “progress” in the Brazilian flag? How did those notions shape the one of “development” since WWII? In political terms, what ideas of “progress” and “development” animated oligarchic, liberal, populist, military, revolutionary, and democratic projects across the region? Because both concepts involve planning and envisioning the outcome of present actions, the history of progress and development is also, in a certain way, a history of the future. The goal of this seminar is to help students situate a problem of their choice and trace its history in terms of the political debates that pursued the goal of progress and development in that specific realm.",Pablo Palomino,Psychology K114,Progress and Development in Latin America,1,[41612],[],LEC
ANTH23103,Undergraduate,Open,Mon Wed : 01:30 PM-02:20 PM,"This course introduces the history and cultures of Latin America (e.g., Mexico, Central and South America, and the Caribbean Islands). The third quarter focuses on the twentieth century, with special emphasis on economic development and its political, social, and cultural consequences. Taking these courses in sequence is not required. This sequence meets the general education requirement in civilization studies. This sequence is offered every year.",Brodwyn Fischer,TBA,Intro to Latin American Civ-3,1,[41560],"[{'sectionname': 'Section 1D01 [41561] - DIS Open', 'daytime': 'Fri : 01:30 PM-02:20 PM', 'instructor': 'Staff'}]",SEM
ANTH24002,Undergraduate,Open,Tue Thu : 10:30 AM-11:50 AM,Modern European and Japanese colonialism in Asia and the Pacific is the theme of the second quarter.,James Hevia,Arranged ARR,Colonizations -2,1,[53809],[],SEM
ANTH24003,Undergraduate,Open,Mon Wed : 01:30 PM-02:50 PM,"The third quarter considers the processes and consequences of decolonization both in the newly independent nations and the former colonial powers. Equivalent Course(s): ANTH 24003,HIST 18303,SALC 20702,SOSC 24003",Pierre Sean Brotherton,5733 S. University 103,Colonizations -3,3,[53817],[],SEM
ANTH24102,Undergraduate,Open,Mon Wed : 01:30 PM-02:50 PM,"The second quarter analyzes the colonial period (i.e., reform movements, the rise of nationalism, communalism, caste, and other identity movements) up to the independence and partition of India.",Dipesh Chakrabarty,Foster Hall 103,Intro To South Asian Civ-2,1,[53561],[],LEC
ANTH24105,Undergraduate,Open,Mon Wed : 10:30 AM-11:50 AM,"Where is the Middle East, how do we go about studying it and why does it matter? This course explores the emergence of the 'Middle East' as an object of inquiry; a place with a people and a culture set in opposition to the 'West'. It asks how these categories are constituted, by whom, and with what consequence. How do they define the contours of political community, the possibilities for empathy and understanding or the limits of rights and moral obligation? The historical and contemporary texts assigned draw attention to the layered and shifting meanings of these categories, and in turn to the geopolitical and epistomological worlds that give rise to them. By putting these texts into conversation with each other the course engages a number of key issues that have occupied social theorists: the relationship between power and knowledge, the politics of representation, and the nature of social theory more generally.",Yaqub Hilal,TBA,Rethinking the Middle East,1,[54395],[],SEM
ANTH24340,Undergraduate,Open,Tue : 01:30 PM-04:20 PM,,Pierre Sean Brotherton,TBA,Anthropology of the Psyche,1,[43415],[],SEM
ANTH24355,Undergraduate,Open,Fri : 09:30 AM-12:20 PM,"This course provides students with an introduction to the phenomenological approach in cultural psychiatry, focusing on the problem of “how to represent mental illness” as a thematic anchor. Students will examine the theoretical and methodological groundings of cultural psychiatry, examining how scholars working in the phenomenological tradition have tried to describe the lived experiences of various forms of “psychopathology” or “madness.” By the end of the course, students will have learned how to describe and analyze the social dimension of a mental health experience, using a phenomenologically-grounded anthropological approach, and by adopting a technical vocabulary for understanding the lived experiences of mental illness (for instance, phenomena, life-world, being-in-the-world, intentionality, epoché, embodiment, madness, psychopathology, melancholia/depression, schizophrenia, etc). In addition, given the ongoing problematic of “how to represent mental illness,” students will also have the opportunity to think through the different ways of presenting their analysis, both in the form of weekly blog entries and during a final-week mock-workshop, where they will showcase their work in a creative medium appropriate to that analysis.",Francis McKay,Saieh Hall for Economics 247,Experiencing Madness: Empathic Methods in Cultural Psychiatry,1,[54360],[],SEM
ANTH24520,Undergraduate,Open,Tue : 03:00 PM-06:00 PM,,Morris Fred,Saieh Hall for Economics 242,Temple or Forum: Designing the Obama Presidential Center,1,[53312],[],LEC
ANTH24710,Undergraduate,Open,Tue : 10:30 AM-11:50 AM,"This class is an attempt to make sense of Trumpism as a symptom of our political present. Where are we? How did we get here? Where do we go from here? What critical theories from previous times or other places might help us make sense of this current national and global conjuncture, and in what ways might they need to be retooled? What specific issues, especially concerning media and the public sphere on the one hand, and the politics of race, class and gender on the other, might be particularly at stake? Using a mix of classic texts and contemporary commentaries, we will explore that made a Trump victory possible and what they can tell us about possible democratic futures.","William Mazzarella, Kaushik Sunder Rajan",TBA,Trump 101,1,[43418],"[{'sectionname': 'Section 1D01 [43420] - DIS Open', 'daytime': '', 'instructor': 'Mazzarella, Sunder Rajan'}]",LEC
ANTH24820,Undergraduate,Open,Wed : 01:30 PM-04:20 PM,"Do we live in the world or on the planet? Can we actually think globally? This course interrogates recent ethnography and theory that differentiates “world"" from “globe"" from “planet” as concepts and spatial domains. We will explore the phenomenological and affective aspects of “worlding” alongside depictions of globalization and more recent efforts to imagine planetary scale processes. At stake is a revolution across the natural sciences in thinking about earthly conditions, one that has important implications for any anthropology of locality. Key issues will be the relationship of the environment (across climate change, toxicity, and deep time) to geopolitics (including finance, international relations, and war). The seminar will consider the theoretical, ethnographic, and visualization strategies for engaging radically different scalar relations.",Joseph Masco,Haskell Hall 101,"World, Globe, Planet",1,[43424],[],SEM
ANTH25150,Undergraduate,Open,Thu : 03:00 PM-06:00 PM,,Morris Fred,Saieh Hall for Economics 242,Anthropology of Israel,1,[53769],[],SEM
ANTH25255,Undergraduate,Open,Mon Wed : 01:30 PM-02:50 PM,"By utilizing a framework of human rights and by drawing on recent research in anthropology, sociology, and geography in different geographic contexts, this course will consider how contemporary issues in migration, such as negotiating identities, policing borders, providing care, and sharing ideas raise and reopen debates concerning the management of difference.",David Ansari,TBA,"Borders, (Im)mobilities and Human Rights",1,[54427],[],SEM
ANTH25440,Undergraduate,Open,Tue : 09:00 AM-11:50 AM,"What are the cultural dimensions of economic and financial institutions and financial action? What social variables influence and shape 'real' markets and market activities? 'If you are so smart, why aren't you rich?' is a question economists have been asked in the past. Why isn't it easy to make money in financial areas even if one knows what economists know about markets, finance and the economy? And why, on the hand, is it so easy to get rich for some participants? Perhaps the answer is the real markets are complex social and cultural institutions which are quite different form organizations, administrations and the production side of the economy. The course provides an overview over social and cultural variables and patterns that play a role in economic behavior and specifically in financial markets. The readings examine the historical and structural embeddedness of economic action and institutions, the different constructions and interpretations of money, prices, and other dimensions of a market economy, and how a financial economy affects organizations, the art and other areas.",Karin Knorr Cetina,Haskell Hall M102,Maverick Markets:  Cultural Economy and Cultural Finance,1,[54365],[],SEM
ANTH25905,Undergraduate,Open,Tue : 01:30 PM-04:20 PM,"This course explores the musical traditions of the peoples of Central Asia, both in terms of historical development and cultural significance. Topics include the music of the epic tradition, the use of music for healing, instrumental genres, and Central Asian folk and classical traditions. Basic field methods for ethnomusicology are also covered. Extensive use is made of recordings of musical performances and of live performances in the area.",Kagan Arik,TBA,Introduction to the Musical Folklore of Central Asia,1,[43152],[],LEC
ANTH26740,Undergraduate,Open,Tue Thu : 12:00 PM-01:20 PM,"""This course provides undergraduate and graduate students with an overview of some of the basic theoretical and methodological issues involved in studying the complex economic organization of ancient Near Eastern state societies. We will examine the archaeological and textual evidence and methods used to reconstruct the components of the economies of Mesopotamian states in the third and second millennia. The course has five main sections: 1) Theoretical perspectives - general principles in economic anthropology as they apply to ancient economies, 2) Production – examining agriculture, herding, and craft production, 3) exchange and circulation, 4) goods and consumption, and 5) institutions. The course will focus on Near Eastern data placed in a comparative framework with case studies from other complex societies. The final class session will integrate archaeological and textual evidence for the different components of an ancient Near Eastern state economy by examining as a case study the 3rd millennium BC economy of Ebla in north Syria. Prerequisite: Any introductory course in archaeology.""",Gil J Stein,Oriental Institute 208,Economic Organization of Ancient Complex Societies,1,[42807],[],LEC
ANTH26760,Undergraduate,Open,Wed : 01:30 PM-04:20 PM,,Yung-Ti Li,Regenstein Library 420,Archaeology of Bronze Age China,1,[53792],[],SEM
ANTH29500,Undergraduate,Open,Tue Thu : 09:00 AM-10:20 AM,"This hands-on lab practicum course exposes students to various stages of artifact processing on a collection from a recently excavated site (e.g., washing, sorting, flotation, identification, data entry, analysis, report preparation, curation). The primary requirement is that students commit to a minimum of nine hours of lab work per week, with tasks assigned according to immediate project needs.",Francois Richard,Cobb Hall B-3,Archaeology Lab Practicum,1,[43425],[],PRA
ANTH29700,Undergraduate,Open,TBA,Readings and Research for working on their BA.,Staff,TBA,Readings: Anthropology,89,[57137],[],IND
ANTH29900,Undergraduate,Open,TBA,"Consent of instructor and program chairman. Students are required to submit the College Reading and Research Course Form. At the discretion of the instructor, this course is available for either Pass or letter grading. For honors requirements, consult the honors section under Program Requirements. Staff. Autumn, Winter, Spring.",Staff,TBA,Prep Bachelor's Essay,89,[57180],[],THE
ANTH31108,Graduate,Open,Tue : 03:00 PM-06:00 PM,,Morris Fred,Saieh Hall for Economics 242,Temple or Forum: Designing the Obama Presidential Center,1,[53313],[],LEC
ANTH34201,Graduate,Open,Tue Thu : 10:30 AM-11:50 AM,"Systems II examines the development of key concepts in anthropology since the discipline’s institutionalization in the early 20th century. The course takes a genealogical approach to “anthropological theory” by tracking the formation, uptake and entailment's of different problem-spaces in anthropology—that is, the distinct complex of questions-and-answers around key themes and problems, which animate the discipline’s various modes of knowledge production. The course takes seriously the interplay of ethnographic inquiry and theory building and of professional practice and public engagement in the development of anthropology as a modern (and postmodern) discipline. While many of the concepts explored here will be recognizable as part of the “bread and butter” of anthropological research, the course is less interested in providing a comprehensive survey of 20th century anthropology than in interrogating the discipline’s signature style of theory building through ethnographic engagements in “the field.” We start from the premise that anthropological theory is a dialectical practice through which realist arguments about the historical world(s)—and the human’s place in it—are honed through empirical encounters and pushback from anthropology’s ethnographic subjects. Ultimately, the course hopes to track how anthropological ways of knowing intervene in the world through the making and stabilizing of particular lived concepts; that is, we ask after theory’s historical formation and durable effects, its social life, as well as afterlives, in the discipline and beyond.",Julie Chu,Wilder House 101,Develop Social Cultural Thry-1,1,[43427],[],SEM
ANTH34202,Graduate,Open,Tue Thu : 12:00 PM-01:20 PM,"Systems II examines the development of key concepts in anthropology since the discipline’s institutionalization in the early 20th century. The course takes a genealogical approach to “anthropological theory” by tracking the formation, uptake and entailments of different problem-spaces in anthropology—that is, the distinct complex of questions-and-answers around key themes and problems, which animate the discipline’s various modes of knowledge production. The course takes seriously the interplay of ethnographic inquiry and theory building and of professional practice and public engagement in the development of anthropology as a modern (and postmodern) discipline. While many of the concepts explored here will be recognizable as part of the “bread and butter” of anthropological research, the course is less interested in providing a comprehensive survey of 20th century anthropology than in interrogating the discipline’s signature style of theory building through ethnographic engagements in “the field.” We start from the premise that anthropological theory is a dialectical practice through which realist arguments about the historical world(s)—and the human’s place in it—are honed through empirical encounters and pushback from anthropology’s ethnographic subjects. Ultimately, the course hopes to track how anthropological ways of knowing intervene in the world through the making and stabilizing of particular lived concepts; that is, we ask after theory’s historical formation and durable effects, its social life, as well as afterlives, in the discipline and beyond.",Julie Chu,TBA,Develop Social Cultural Thry-2,1,[43429],[],SEM
